field,Gini,M20,C,A,size,n,q,z.mode,mass
COSMOS,0.187947879033296,-1.1800236780861,2.1411799291252,0.0456023936188043,0.846961132227324,1.0915,0.6178,1.56,10.5185
COSMOS,0.428558585941115,-1.42080774864451,2.74830561092701,0.0879398363853391,0.660752480048079,0.829,0.4735,1.58,9.95621
COSMOS,0.509829769491198,-1.71194833778868,3.44917626601067,0.0597651631811488,0.424156513177717,1.9447,0.6157,1.61,10.7089
COSMOS,0.456585155569477,-1.30084352542349,2.55608784613838,0.132421771322118,0.56542943828828,0.2,0.3157,1.9,10.3752
COSMOS,0.464139670912017,-1.69297497049579,3.10560898877443,0.132163352339863,0.434828785147869,0.9956,0.4698,1.91,9.80028
COSMOS,0.436143361050381,-1.23024171626019,2.78616052366373,0.159299120642514,1.10367942467373,0.2885,0.1468,1.64,9.66943
COSMOS,0.445247911375541,-1.56344103473395,3.15591149198745,0.0902423071869914,0.429525796701578,1.0331,0.3638,1.59,9.84287
COSMOS,0.514258330668846,-1.58394883794523,2.63766184153964,0.310774655239709,0.648499052910661,1.2713,0.5769,1.96,9.68412
COSMOS,0.475912765948353,-1.74044006698834,2.81610011821818,0.0882378257557481,0.830566785597348,0.9284,0.8245,1.5,9.88806
COSMOS,0.526988635753458,-1.58574188762874,3.44649645887117,0.23979045579445,0.721280582005912,4.8545,0.5462,1.49,10.033
COSMOS,0.353623586907749,-1.19825750917881,3.0145327315623,0.149301841655275,0.649381965576721,0.7797,0.2412,2,10.7579
COSMOS,0.326541747607352,-1.28242329724599,2.40379955183421,0.151194431547382,1.04172072264008,1.374,0.8488,1.56,9.72133
COSMOS,0.487703645987515,-1.3203254242959,2.70674894462975,0.129825297324869,1.09167404195214,0.6378,0.4109,1.48,10.9025
COSMOS,0.453966486830574,-0.98670497220637,2.60195930916892,0.170342124704125,0.75618243800062,0.2043,0.2881,1.76,9.91148
COSMOS,0.457270001652724,-1.73668890713182,3.39136937576036,0.0666131537689309,0.328201257591428,2.3839,0.6671,1.8,10.3911
COSMOS,0.368877549804326,-1.13365248029318,2.53876750602892,0.165705365096183,1.18673091323668,1.8396,0.4324,1.97,11.0814
COSMOS,0.36916920060664,-1.13518133102492,2.5402103027187,0.17606116695297,1.1881784408086,2.1612,0.8314,1.93,10.7338
COSMOS,0.30436032448966,-1.50641713661452,2.80509478872488,0.187638956170078,0.692092997168277,4.1665,0.6164,1.97,11.0603
COSMOS,0.441628597896487,-1.21021137108289,2.68333784170175,0.138025624677143,0.685438102243576,0.5133,0.2197,1.61,9.47736
COSMOS,0.446224083917199,-1.60908899746929,2.64492356528049,0.278989108665666,0.707647590926684,2.304,0.6664,1.74,10.5355
COSMOS,0.349511410235419,-1.36814906397297,3.68198732732645,0.210287970868286,0.601755204815613,0.7819,0.6431,1.85,10.9548
COSMOS,0.494495028367892,-1.76414265682149,3.42916666299516,0.120784581533012,0.608383707584705,3.4254,0.778,1.89,10.7358
COSMOS,0.496641840243814,-1.71800648172115,2.84432231265402,0.168150409925485,0.779317177302459,0.8216,0.6793,1.68,10.1104
COSMOS,0.500593677866012,-1.69707495825134,3.27560095866736,0.113892634465222,0.540563109652074,1.3186,0.6193,1.9,10.8932
COSMOS,0.513854040293325,-1.91300977055097,3.3613303764075,0.22236204070171,1.15392977077638,3.8363,0.7085,1.95,10.4979
COSMOS,0.460145931981791,-1.82403685288203,3.45559225734647,0.110223277605087,1.06940345944883,1.5546,0.8596,1.97,10.0263
COSMOS,0.477393528958862,-0.769989055023403,1.23975632662753,0.241746512671951,0.825029611962757,2.7813,0.5781,1.8,10.8993
COSMOS,0.300719836513573,-0.713620069941633,3.12555552809882,0.218521673808262,0.692092997168277,0.2,0.2706,1.97,10.7186
COSMOS,0.407685865449097,-1.55186557795068,2.62709734876116,0.158973538015757,0.90326734706082,1.0159,0.4793,1.66,10.8281
COSMOS,0.442089967115818,-1.68880898001117,2.8044634790333,0.0460500044703955,0.620505953499169,0.9252,0.6184,1.5,10.3039
COSMOS,0.416054629922828,-1.4887550661639,2.85378813033356,0.0990623324880645,0.73777361390489,0.8674,0.435,1.99,10.0657
COSMOS,0.434050183512064,-1.07160419531495,2.22754037932598,0.205186221042296,1.03565293051529,0.4977,0.3043,1.76,9.86248
COSMOS,0.555270532110812,-1.39621058869175,3.23466599543128,0.240171149323242,1.02564638733834,2.7444,0.425,1.86,10.3539
COSMOS,0.531823157328615,-2.00117348502109,3.77377817678373,0.210370374474144,0.777845377731429,8,0.8193,2.05,10.3571
COSMOS,0.418286498980314,-1.36163829224739,2.39012908351421,0.0768373142109601,0.872288915402307,0.2883,0.4434,1.5,10.0635
COSMOS,0.332380335108897,-0.903866806424907,2.467302999441,0.16298000257086,1.02620486621846,0.8186,0.3055,1.97,10.1131
COSMOS,0.516547366500977,-1.84937062762848,3.42442513924497,0.0917785664132694,0.626021670447184,2.4833,0.7632,1.65,10.9393
COSMOS,0.490647109793456,-0.969934467039059,2.26528744774227,0.334146288486952,0.984021683587862,2.8632,0.7044,1.62,9.68015
COSMOS,0.498726054993372,-1.68262678137533,3.40401384235501,0.123850776520634,0.457932913228435,1.7492,0.8518,1.83,9.78847
COSMOS,0.348019911520974,-1.40183104206032,2.90972548998163,0.212290766701872,1.10575401188925,1.7031,0.6395,1.98,10.5396
COSMOS,0.493632673365115,-1.65359324300879,3.4646397722226,0.126049734101392,0.328201257591428,2.3938,0.6478,1.92,10.5178
COSMOS,0.488693042064107,-1.76622484655119,3.85678095075312,0.0420050314199939,0.441367930806578,3.7937,0.7152,1.7,10.6017
COSMOS,0.526548989264752,-1.43631194927247,3.00256865339305,0.232883137091541,0.816653459878961,0.3129,0.1449,1.79,10.1455
COSMOS,0.510543829936194,-1.5566474411298,2.90859320257678,0.231691351692188,0.812433000308769,1.1529,0.8657,1.96,9.72241
COSMOS,0.495080905291491,-1.11260409176931,2.4671499177324,0.351466130647013,0.57845254978814,8,0.5253,1.9,10.3782
COSMOS,0.491123156902134,-1.6246472043164,2.7432760167894,0.274709164914888,0.71889354650602,1.2384,0.8372,1.89,10.6309
COSMOS,0.504757244721142,-1.88579467972285,3.87631156150847,0.151111987289965,0.479926071017809,7.913,0.4596,1.68,10.1476
COSMOS,0.483155242604135,-1.09776473003069,2.45670805548322,0.213970561337879,0.845607076793511,0.9452,0.2953,1.77,9.9892
COSMOS,0.497798002785396,-1.71382902359439,3.55928858418318,0.14934580532945,0.466609003502625,3.1894,0.814,1.91,10.9635
